Time, Voltage, Current
14:43:21.59,9.072000,-0.916000
14:43:21.84,0.000000,0.000000
14:43:22.09,0.000000,0.000000
14:43:22.34,0.000000,0.000000
14:43:22.59,0.000000,0.000000
14:43:22.84,0.000000,0.000000
14:43:23.09,0.000000,0.000000
14:43:23.34,0.000000,0.000000
14:43:23.59,1.020000,0.781000
14:43:23.84,9.857000,0.151000
14:43:24.09,9.997000,0.000000
14:43:24.34,9.998000,0.000000
14:43:24.59,9.998000,0.000000
14:43:24.84,9.998000,0.000000
14:43:25.09,9.998000,0.000000
14:43:25.34,9.998000,0.000000
14:43:25.59,8.975000,-0.807000
14:43:25.84,0.000000,0.000000
14:43:26.09,0.000000,0.000000
14:43:26.34,0.000000,0.000000
14:43:26.59,0.000000,0.000000
14:43:26.84,0.000000,0.000000
14:43:27.09,0.000000,0.000000
14:43:27.34,0.000000,0.000000
14:43:27.59,1.252000,0.672000
14:43:27.84,9.855000,0.129000
14:43:28.09,9.997000,0.000000
14:43:28.34,9.998000,0.000000
14:43:28.59,9.998000,0.000000
14:43:28.84,9.998000,0.000000
14:43:29.09,9.998000,0.000000
14:43:29.34,9.998000,0.000000
14:43:29.59,9.075000,-0.807000
14:43:29.84,0.000000,0.000000
14:43:30.09,0.000000,0.000000
14:43:30.35,0.000000,0.000000
14:43:30.59,0.000000,0.000000
14:43:30.84,0.000000,0.000000
14:43:31.09,0.000000,0.000000
14:43:31.34,0.000000,0.000000
14:43:31.59,1.193000,0.783000
14:43:31.84,9.832000,0.000000
14:43:32.09,9.997000,0.000000
14:43:32.34,9.998000,0.000000
14:43:32.59,9.998000,0.000000
14:43:32.84,9.998000,0.000000
14:43:33.09,9.998000,0.000000
14:43:33.34,9.998000,0.000000
14:43:33.59,8.915000,-0.835000
14:43:33.84,0.000000,0.000000
14:43:34.09,0.000000,0.000000
14:43:34.34,0.000000,0.000000
14:43:34.59,0.000000,0.000000
14:43:34.84,0.000000,0.000000
14:43:35.09,0.000000,0.000000
14:43:35.34,0.000000,0.000000
14:43:35.59,0.963000,0.694000
Means:,
,4.385439,-0.002719
