Time, Voltage, Current
12:07:44.47,0.000000,0.000000

12:07:44.72,0.000000,0.000000

12:07:44.97,0.000000,0.000000

12:07:45.22,0.000000,0.000000

12:07:45.47,0.000000,0.000000

12:07:45.72,-0.001000,0.000000

12:07:45.97,0.000000,0.000000

12:07:46.22,1.121000,0.674000

12:07:46.47,9.863000,0.118000

12:07:46.72,9.997000,0.000000

12:07:46.97,9.998000,0.000000

12:07:47.22,9.998000,0.000000

12:07:47.47,9.999000,0.000000

12:07:47.72,9.998000,0.000000

12:07:47.97,9.999000,0.000000

12:07:48.22,8.991000,-0.926000

12:07:48.47,0.000000,0.000000

12:07:48.72,0.000000,0.000000

12:07:48.97,0.000000,0.000000

12:07:49.22,0.000000,0.000000

12:07:49.47,0.000000,0.000000

12:07:49.72,0.000000,0.000000

12:07:49.97,-0.001000,0.000000

12:07:50.22,1.415000,0.784000

12:07:50.47,9.829000,0.150000

12:07:50.72,9.997000,0.000000

12:07:50.97,9.998000,0.000000

12:07:51.22,9.998000,0.000000

12:07:51.47,9.998000,0.000000

12:07:51.72,9.998000,0.000000

12:07:51.97,9.998000,0.000000

12:07:52.22,8.871000,-0.688000

12:07:52.47,0.000000,0.000000

12:07:52.72,0.000000,0.000000

12:07:52.97,0.000000,0.000000

12:07:53.22,0.000000,0.000000

Means:,
,4.446222,0.003111
