Time, Voltage, Current
11:54:38.34,-0.001000,0.000000

11:54:38.59,-0.001000,0.000000

11:54:38.85,-0.001000,0.000000

11:54:39.09,0.608000,0.072000

11:54:39.34,1.912000,0.101000

11:54:39.59,3.151000,0.101000

11:54:39.84,4.388000,0.101000

11:54:40.10,5.625000,0.101000

11:54:40.34,6.871000,0.100000

11:54:40.59,8.141000,0.101000

11:54:40.85,9.436000,0.101000

11:54:41.09,9.417000,-0.911000

11:54:41.34,0.000000,0.000000

11:54:41.59,-0.001000,0.000000

11:54:41.85,-0.001000,0.000000

11:54:42.09,-0.001000,0.000000

11:54:42.34,-0.001000,0.000000

11:54:42.60,-0.001000,0.000000

11:54:42.84,-0.001000,0.000000

11:54:43.10,1.089000,0.082000

11:54:43.35,1.909000,0.101000

11:54:43.59,3.154000,0.101000

11:54:43.85,4.392000,0.101000

11:54:44.10,5.625000,0.100000

11:54:44.35,6.877000,0.101000

11:54:44.60,8.178000,0.100000

11:54:44.85,9.443000,0.101000

11:54:45.09,9.246000,-0.926000

11:54:45.35,0.000000,0.000000

11:54:45.60,0.000000,0.000000

11:54:45.85,0.000000,0.000000

11:54:46.09,-0.001000,0.000000

11:54:46.34,-0.001000,0.000000

11:54:46.60,-0.001000,0.000000

11:54:46.84,-0.001000,0.000000

11:54:47.10,0.412000,3.715000

11:54:47.35,1.909000,0.101000

11:54:47.60,3.156000,0.101000

11:54:47.85,4.392000,0.100000

11:54:48.10,5.629000,0.101000

11:54:48.35,6.884000,0.100000

11:54:48.61,8.153000,0.100000

11:54:48.85,9.445000,0.101000

