Time, Voltage, Current
12:02:59.70,0.000000,0.000000

12:02:59.95,0.000000,0.000000

12:03:00.20,-0.001000,0.000000

12:03:00.45,1.013000,0.633000

12:03:00.70,9.786000,0.000000

12:03:00.95,9.998000,0.000000

12:03:01.20,9.998000,0.000000

12:03:01.45,9.998000,0.000000

12:03:01.70,9.998000,0.000000

12:03:01.95,9.999000,0.000000

12:03:02.20,9.998000,0.000000

12:03:02.45,9.488000,-0.911000

12:03:02.70,0.000000,0.000000

12:03:02.95,0.000000,0.000000

12:03:03.20,0.000000,0.000000

12:03:03.45,0.000000,0.000000

12:03:03.70,0.000000,0.000000

12:03:03.95,0.000000,0.000000

12:03:04.20,0.000000,0.000000

12:03:04.45,0.964000,0.757000

12:03:04.70,9.772000,0.183000

12:03:04.95,9.998000,0.000000

12:03:05.20,9.998000,0.000000

12:03:05.45,9.999000,0.000000

12:03:05.70,9.999000,0.000000

12:03:05.95,9.998000,0.000000

12:03:06.20,9.998000,0.000000

12:03:06.45,9.234000,-0.645000

12:03:06.70,0.000000,0.000000

12:03:06.95,0.000000,0.000000

12:03:07.20,0.000000,0.000000

12:03:07.45,0.000000,0.000000

12:03:07.70,0.000000,0.000000

12:03:07.95,0.000000,0.000000

12:03:08.20,-0.001000,0.000000

12:03:08.45,0.000000,0.767000

12:03:08.70,9.781000,0.149000

12:03:08.95,9.998000,0.000000

12:03:09.20,9.998000,0.000000

12:03:09.45,9.999000,0.000000

12:03:09.70,9.998000,0.000000

12:03:09.95,9.998000,0.000000

12:03:10.20,9.999000,0.000000

12:03:10.45,9.225000,-0.777000

12:03:10.70,0.000000,0.000000

12:03:10.95,0.000000,0.000000

12:03:11.20,0.000000,0.000000

12:03:11.45,0.000000,0.000000

12:03:11.70,-0.001000,0.000000

12:03:11.95,0.000000,0.000000

12:03:12.20,0.000000,0.000000

12:03:12.45,0.986000,0.757000

12:03:12.70,9.804000,0.047000

12:03:12.95,9.998000,0.000000

12:03:13.20,9.998000,0.000000

